player,turn,p1_draws,p2_draws,hand,ev_bucket,stop_prob,draw_prob,visits,forced
1,0,0,0,2-3-5-9,3,0.0001249375312343828,0.9998750624687657,9338,
1,0,0,0,2-3-6-10,3,0.0015996050389693744,0.9984003949610306,37844,
1,0,0,0,2-3-6-6,1,0.9998634625887494,0.00013653741125068268,3662,
1,0,0,0,2-3-6-7,2,0.9960859954474587,0.0039140045525413265,9352,
1,0,0,0,2-3-6-8,2,0.7548262730410886,0.2451737269589114,9504,
1,0,0,0,2-3-6-9,3,0.04006447051242723,0.9599355294875727,9522,
1,0,0,0,2-3-7-10,3,1.3205155292626241e-05,0.9999867948447074,37864,
1,0,0,0,2-3-7-7,2,0.9947110333009287,0.0052889666990712705,3676,
1,0,0,0,2-3-7-8,2,0.0013131659929647324,0.9986868340070352,9574,
1,0,0,0,2-3-7-9,3,0.01386557713112081,0.9861344228688793,9378,
1,0,0,0,2-3-8-10,3,0.0005377224873091092,0.9994622775126909,37544,
1,0,0,0,2-3-8-8,2,0.193305807804951,0.806694192195049,3542,
1,0,0,0,2-3-8-9,3,0.01022585700806129,0.9897741429919388,9318,
1,0,0,0,2-3-9-10,3,1.3244331426149609e-05,0.9999867556685739,37752,
1,0,0,0,2-3-9-9,3,0.016548813475364556,0.9834511865246355,3648,
1,0,0,0,2-4-10-10,3,0.0,1.0,70086,DRAW
1,0,0,0,2-4-4-10,3,0.0017854838970395334,0.9982145161029605,13952,
1,0,0,0,2-4-4-4,0,0.9250841750841751,0.07491582491582492,594,
1,0,0,0,2-4-4-5,1,0.9875803825223177,0.012419617477682323,3550,
1,0,0,0,2-4-4-6,1,0.9981596828992072,0.001840317100792752,3532,
1,0,0,0,2-4-4-7,2,0.9438758408202611,0.05612415917973888,3610,
1,0,0,0,2-4-4-8,2,0.9921899397234517,0.007810060276548302,3680,
1,0,0,0,2-4-4-9,3,0.0077578718323613296,0.9922421281676387,3548,
1,0,0,0,2-4-5-10,3,0.001797613848817355,0.9982023861511827,37864,
1,0,0,0,2-4-5-5,1,0.9972222222222222,0.0027777777777777788,3660,
1,0,0,0,2-4-5-6,1,0.998578947368421,0.0014210526315789475,9500,
1,0,0,0,2-4-5-7,2,0.9939475898925075,0.0060524101074925065,9536,
1,0,0,0,2-4-5-8,2,0.9936960770616983,0.006303922938301794,9512,
1,0,0,0,2-4-5-9,3,0.15762835921953267,0.8423716407804673,9626,
1,0,0,0,2-4-6-10,3,1.3128183584519245e-05,0.9999868718164154,38086,
1,0,0,0,2-4-6-6,1,0.9940874089565545,0.005912591043445549,3534,
1,0,0,0,2-4-6-7,2,0.997473803248797,0.0025261967512029623,9336,
1,0,0,0,2-4-6-8,2,0.8925566951653771,0.10744330483462294,9512,
1,0,0,0,2-4-6-9,3,0.1873314302628365,0.8126685697371635,9430,
1,0,0,0,2-4-7-10,3,0.0006211112517649619,0.9993788887482351,37314,
1,0,0,0,2-4-7-7,2,0.9907836259765918,0.009216374023408207,3526,
1,0,0,0,2-4-7-8,2,0.8446707831027737,0.1553292168972264,9318,
1,0,0,0,2-4-7-9,3,0.00016080617495711836,0.9998391938250428,9328,
1,0,0,0,2-4-8-10,3,1.3042570951585977e-05,0.9999869574290484,38336,
1,0,0,0,2-4-8-8,2,0.01865320079768521,0.9813467992023148,3764,
1,0,0,0,2-4-8-9,3,0.00015906680805938495,0.9998409331919406,9430,
1,0,0,0,2-4-9-10,3,0.00010146323992046273,0.9998985367600794,38090,
1,0,0,0,2-4-9-9,3,0.0001410039481105471,0.9998589960518894,3546,
1,0,0,0,2-5-10-10,3,0.0,1.0,70998,DRAW
1,0,0,0,2-5-5-10,3,0.00048036709363020736,0.9995196329063698,14162,
1,0,0,0,2-5-5-5,1,0.9941666666666666,0.005833333333333334,600,
1,0,0,0,2-5-5-6,1,0.9992616656822209,0.0007383343177790904,3386,
1,0,0,0,2-5-5-7,2,0.942819956956522,0.057180043043478006,3602,
1,0,0,0,2-5-5-8,2,0.8556027890424589,0.14439721095754104,3608,
1,0,0,0,2-5-5-9,3,0.00155631013016412,0.9984436898698359,3534,
