player,turn,p1_draws,p2_draws,hand,ev_bucket,opp_bound,stop_prob,draw_prob,visits,forced
1,0,0,0,2-3-3-9,3,10,0.05121797718894706,0.948782022811053,3354,
1,0,0,0,2-3-4-10,3,10,0.00024073393210427725,0.9997592660678958,38078,
1,0,0,0,2-3-4-4,0,10,0.9987541528239202,0.0012458471760797341,3612,
1,0,0,0,2-3-4-5,1,10,0.9685899230166847,0.03141007698331535,9346,
1,0,0,0,2-3-4-6,1,10,0.9893969277122023,0.010603072287797735,9378,
1,0,0,0,2-3-4-7,2,10,0.9634092702650388,0.036590729734961164,9596,
1,0,0,0,2-3-4-8,2,10,0.8587583607975354,0.14124163920246455,9148,
1,0,0,0,2-3-4-9,3,10,0.04765743887932311,0.9523425611206768,9526,
1,0,0,0,2-3-5-10,3,10,0.00040238258673651854,0.9995976174132634,37412,
1,0,0,0,2-3-5-5,1,10,0.996436716077537,0.003563283922462942,3508,
1,0,0,0,2-3-5-6,1,10,0.9387179321487595,0.06128206785124054,9342,
1,0,0,0,2-3-5-7,2,10,0.9886412587526596,0.011358741247340386,9330,
1,0,0,0,2-3-5-8,2,10,0.858263814295779,0.14173618570422092,9316,
1,0,0,0,2-3-5-9,3,10,0.041353289535545866,0.958646710464454,9624,
1,0,0,0,2-3-6-10,3,10,0.0006445263968418666,0.9993554736031582,38048,
1,0,0,0,2-3-6-6,1,10,0.9272869925558525,0.07271300744414765,3644,
1,0,0,0,2-3-6-7,2,10,0.9843062737515521,0.015693726248447993,9328,
1,0,0,0,2-3-6-8,2,10,0.9360132994738456,0.06398670052615428,9256,
1,0,0,0,2-3-6-9,3,10,0.13553564789019304,0.8644643521098069,9596,
1,0,0,0,2-3-7-10,3,10,0.0002200987760360748,0.999779901223964,37256,
1,0,0,0,2-3-7-7,2,10,0.9970017133066819,0.0029982866933181045,3502,
1,0,0,0,2-3-7-8,2,10,0.009919673181984211,0.9900803268180158,9466,
1,0,0,0,2-3-7-9,3,10,0.0032651624680664266,0.9967348375319336,9540,
1,0,0,0,2-3-8-10,3,10,0.0001643213868269654,0.9998356786131731,37644,
1,0,0,0,2-3-8-8,2,10,0.000143184421534937,0.9998568155784651,3492,
1,0,0,0,2-3-8-9,3,10,5.2213868003341685e-05,0.9999477861319966,9576,
1,0,0,0,2-3-9-10,3,10,1.311028370653941e-05,0.9999868897162935,38138,
1,0,0,0,2-3-9-9,3,10,0.0004254112308564946,0.9995745887691435,3526,
1,0,0,0,2-4-10-10,3,10,0.0,1.0,71358,DRAW
1,0,0,0,2-4-4-10,3,10,3.533069530808366e-05,0.999964669304692,14152,
1,0,0,0,2-4-4-4,0,10,0.813364083937021,0.18663591606297894,666,
1,0,0,0,2-4-4-5,1,10,0.9941110487941671,0.005888951205832866,3566,
1,0,0,0,2-4-4-6,1,10,0.9727459625309143,0.027254037469085723,3580,
1,0,0,0,2-4-4-7,2,10,0.9989965596330275,0.0010034403669724771,3488,
1,0,0,0,2-4-4-8,2,10,0.9690839112742434,0.030916088725756553,3582,
1,0,0,0,2-4-4-9,3,10,0.01066543514391855,0.9893345648560815,3444,
1,0,0,0,2-4-5-10,3,10,1.3471279232675934e-05,0.9999865287207673,37116,
1,0,0,0,2-4-5-5,1,10,0.9810266538916584,0.018973346108341543,3544,
1,0,0,0,2-4-5-6,1,10,0.9928943979028771,0.007105602097122886,9494,
1,0,0,0,2-4-5-7,2,10,0.9862011652637369,0.013798834736263088,9372,
1,0,0,0,2-4-5-8,2,10,0.8394794596102941,0.16052054038970592,9454,
1,0,0,0,2-4-5-9,3,10,0.000604849129950776,0.9993951508700493,9350,
1,0,0,0,2-4-6-10,3,10,0.0020859875976328795,0.9979140124023671,37564,
1,0,0,0,2-4-6-6,1,10,0.9697078689097768,0.030292131090223235,3562,
1,0,0,0,2-4-6-7,2,10,0.9998433583959899,0.00015664160401002505,9576,
1,0,0,0,2-4-6-8,2,10,0.9495238300608763,0.05047616993912373,9564,
1,0,0,0,2-4-6-9,3,10,0.0039934978482906,0.9960065021517095,9394,
1,0,0,0,2-4-7-10,3,10,3.9463299131807416e-05,0.9999605367008682,38010,
1,0,0,0,2-4-7-7,2,10,0.8672071670389004,0.13279283296109956,3710,
1,0,0,0,2-4-7-8,2,10,0.04455145221885739,0.9554485477811426,9390,
1,0,0,0,2-4-7-9,3,10,0.00026652452025586353,0.9997334754797441,9380,
1,0,0,0,2-4-8-10,3,10,9.306035628822122e-05,0.9999069396437118,37610,
1,0,0,0,2-4-8-8,2,10,0.0065531473509239935,0.9934468526490761,3630,
1,0,0,0,2-4-8-9,3,10,0.000580536204348744,0.9994194637956513,9474,
