player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits
2,15,8,7,3-7-7-9,0.5,0.5,1
2,15,8,7,3-7-8-8,0.17307692307692307,0.8269230769230769,26
2,15,8,7,4-4-4-4,0.002050580997949419,0.9979494190020506,1463
2,15,8,7,4-4-4-5,0.00285204991087344,0.9971479500891266,2805
2,15,8,7,4-4-4-6,0.017142857142857144,0.9828571428571429,700
2,15,8,7,4-4-4-7,0.03535353535353535,0.9646464646464646,99
2,15,8,7,4-4-4-8,0.11538461538461539,0.8846153846153846,13
2,15,8,7,4-4-5-5,0.002201996476805637,0.9977980035231944,3406
2,15,8,7,4-4-5-6,0.00045641259698767686,0.9995435874030123,2191
2,15,8,7,4-4-5-7,0.014942528735632184,0.9850574712643678,435
2,15,8,7,4-4-5-8,0.011111111111111112,0.9888888888888889,45
2,15,8,7,4-4-5-9,0.5,0.5,2
2,15,8,7,4-4-6-6,0.006896551724137931,0.993103448275862,870
2,15,8,7,4-4-6-7,0.018337408312958436,0.9816625916870416,409
2,15,8,7,4-4-6-8,0.20689655172413793,0.7931034482758621,29
2,15,8,7,4-4-6-9,0.5,0.5,3
2,15,8,7,4-4-7-7,0.02631578947368421,0.9736842105263158,133
2,15,8,7,4-4-7-8,0.5,0.5,34
2,15,8,7,4-4-7-9,0.5,0.5,2
2,15,8,7,4-4-8-8,0.3,0.7,15
2,15,8,7,4-4-8-9,0.5,0.5,2
2,15,8,7,4-4-9-9,0.5,0.5,1
2,15,8,7,4-5-5-5,0.0004948045522018803,0.9995051954477981,2021
2,15,8,7,4-5-5-6,0.006424965580541533,0.9935750344194585,2179
2,15,8,7,4-5-5-7,0.004484304932735426,0.9955156950672646,446
2,15,8,7,4-5-5-8,0.020833333333333332,0.9791666666666666,48
2,15,8,7,4-5-5-9,0.5,0.5,1
2,15,8,7,4-5-6-6,0.00028851702250432774,0.9997114829774957,1733
2,15,8,7,4-5-6-7,0.03169469598965071,0.9683053040103493,773
2,15,8,7,4-5-6-8,0.15060240963855423,0.8493975903614458,83
2,15,8,7,4-5-6-9,0.5,0.5,2
2,15,8,7,4-5-7-7,0.052734375,0.947265625,256
2,15,8,7,4-5-7-8,0.11170212765957446,0.8882978723404256,94
2,15,8,7,4-5-7-9,0.5,0.5,2
2,15,8,7,4-5-8-8,0.125,0.875,24
2,15,8,7,4-5-8-9,0.5,0.5,3
2,15,8,7,4-6-6-6,0.06118143459915612,0.9388185654008439,474
2,15,8,7,4-6-6-7,0.006561679790026247,0.9934383202099738,381
2,15,8,7,4-6-6-8,0.03409090909090909,0.9659090909090909,44
2,15,8,7,4-6-6-9,0.5,0.5,1
2,15,8,7,4-6-7-7,0.030612244897959183,0.9693877551020408,245
2,15,8,7,4-6-7-8,0.41358024691358025,0.5864197530864198,81
2,15,8,7,4-6-7-9,0.5,0.5,4
2,15,8,7,4-6-8-8,0.5,0.5,34
2,15,8,7,4-7-7-7,0.05384615384615385,0.9461538461538461,65
2,15,8,7,4-7-7-8,0.15384615384615385,0.8461538461538461,39
2,15,8,7,5-5-5-5,0.034764826175869123,0.9652351738241309,489
2,15,8,7,5-5-5-6,0.009589041095890411,0.9904109589041096,730
2,15,8,7,5-5-5-7,0.16115702479338842,0.8388429752066116,121
2,15,8,7,5-5-5-8,0.5,0.5,7
2,15,8,7,5-5-6-6,0.0012106537530266344,0.9987893462469734,826
2,15,8,7,5-5-6-7,0.004901960784313725,0.9950980392156863,408
2,15,8,7,5-5-6-8,0.3125,0.6875,40
2,15,8,7,5-5-7-7,0.09731543624161074,0.9026845637583892,149
2,15,8,7,5-5-7-8,0.5,0.5,33
2,15,8,7,5-5-8-8,0.5,0.5,13
2,15,8,7,5-6-6-6,0.013986013986013986,0.986013986013986,429
2,15,8,7,5-6-6-7,0.025362318840579712,0.9746376811594203,414
